,0,1,2,3,4,5,6,7,8,9,10
0,Team 1,31,32,50,,58,,,,,
1,Team 2,68,64,16,,37,,,,,
2,Team 3,48,,66,54,19,,,,,
3,Team 4,73,2,,59,70,,,,,
4,Team 5,,,,,,,,,,
5,Team 6,96,20,80,79,,,,,,
6,Team 7,86,100,60,,44,45,,,,
7,Team 8,28,41,,,25,84,,,,
8,Team 10,,88,34,,22,,61,8,35,
9,Team 11,15,,9,93,90,,,,,
10,Team 12,47,85,75,,36,,,,,
11,Team 13,51,21,67,,65,,,,,
12,Team 14,40,,71,89,55,18,,,,
13,Team 15,29,63,57,97,,46,91,,,
14,Team 16,98,42,94,38,14,,,,,
